id,subject,grade,topic,subtopic,difficulty,question_type,question,reference_answer,expected_keywords,source_topic
CHEM-017,Chemistry,M4,Stoichiometry,Mole ratio,Medium,Calculation,"In the balanced equation 2H2 + O2 → 2H2O, how many moles of H2O can form from 3 moles of O2 with excess H2?","The mole ratio O2:H2O is 1:2, so 3 moles of O2 produce 6 moles of H2O.",6 mol H2O; mole ratio 1:2,Stoichiometric Relationships
CHEM-018,Chemistry,M4,Gases,Kinetic molecular theory,Medium,Conceptual,"According to kinetic molecular theory, why does gas pressure increase when temperature rises at constant volume?","Particles move faster at higher temperature and collide with container walls more often and more forcefully, increasing pressure.",faster particles; more collisions; greater pressure,Kinetic Molecular Theory
CHEM-019,Chemistry,M4,Gases,Ideal gas relation,Medium,Calculation,"At constant temperature, a gas has pressure 1 atm and volume 6 L. If pressure increases to 3 atm, what is the new volume?","Using Boyle's law P1V1 = P2V2, (1)(6) = (3)V2, so V2 = 2 L.",2 L; Boyle's law,Gas Laws
CHEM-020,Chemistry,M4,Solutions,Solute and solvent,Easy,Definition,"In saltwater, which substance is the solute and which is the solvent?","Salt is the solute because it is dissolved, and water is the solvent because it does the dissolving.",salt; water; solute; solvent,Solutions
CHEM-021,Chemistry,M5,Solutions,Molarity,Easy,Calculation,What is the molarity of a solution containing 2 mol of solute in 4 L of solution?,Molarity = moles / liters = 2 / 4 = 0.5 M.,0.5 M; molarity = mol/L,Concentration of Solutions
CHEM-022,Chemistry,M5,Solutions,Dilution,Medium,Calculation,A 2.0 M solution is diluted from 100 mL to 400 mL. What is the new concentration?,"Using M1V1 = M2V2, (2.0)(100) = M2(400), so M2 = 0.50 M.",0.50 M; dilution equation,Dilution
CHEM-023,Chemistry,M5,Thermochemistry,Exothermic reaction,Easy,Conceptual,What is an exothermic reaction?,An exothermic reaction releases heat to the surroundings.,releases heat; surroundings,Energy Changes in Reactions
CHEM-024,Chemistry,M5,Thermochemistry,Endothermic reaction,Easy,Conceptual,What is an endothermic reaction?,An endothermic reaction absorbs heat from the surroundings.,absorbs heat; surroundings,Energy Changes in Reactions
CHEM-025,Chemistry,M5,Reaction Rates,Collision theory,Medium,Conceptual,Why does increasing temperature usually increase reaction rate?,"Higher temperature gives particles more kinetic energy, causing more frequent and more energetic effective collisions.",kinetic energy; effective collisions; rate increases,Factors Affecting Reaction Rate
CHEM-026,Chemistry,M5,Reaction Rates,Catalysts,Medium,Conceptual,How does a catalyst speed up a chemical reaction?,A catalyst provides an alternative pathway with lower activation energy and is not consumed overall.,lower activation energy; alternative pathway; not consumed,Catalysts
CHEM-027,Chemistry,M5,Chemical Equilibrium,Dynamic equilibrium,Medium,Conceptual,What does dynamic equilibrium mean in a reversible reaction?,"It means the forward and reverse reactions continue at equal rates, so concentrations remain constant.",equal rates; forward and reverse; constant concentrations,Chemical Equilibrium
CHEM-028,Chemistry,M5,Chemical Equilibrium,Le Châtelier's principle,Hard,Application,"For the equilibrium N2 + 3H2 ⇌ 2NH3, what happens if more H2 is added?",The system shifts to the right to consume some of the added H2 and produce more NH3.,shifts right; produces more NH3; Le Châtelier,Le Châtelier's Principle
CHEM-029,Chemistry,M5,Acids and Bases,Acid definition,Easy,Definition,"According to the Brønsted-Lowry definition, what is an acid?",A Brønsted-Lowry acid is a proton donor.,proton donor; acid,Acid-Base Theories
CHEM-030,Chemistry,M5,Acids and Bases,Base definition,Easy,Definition,"According to the Brønsted-Lowry definition, what is a base?",A Brønsted-Lowry base is a proton acceptor.,proton acceptor; base,Acid-Base Theories
CHEM-031,Chemistry,M5,Acids and Bases,pH,Easy,Conceptual,What does a pH less than 7 usually indicate?,A pH less than 7 usually indicates an acidic solution.,acidic; pH below 7,pH Scale
CHEM-032,Chemistry,M5,Acids and Bases,Strong vs weak acids,Medium,Comparison,What is the difference between a strong acid and a weak acid?,"A strong acid ionizes nearly completely in water, while a weak acid ionizes only partially.",complete ionization; partial ionization,Strong and Weak Acids
CHEM-033,Chemistry,M5,Acids and Bases,Neutralization,Medium,Conceptual,What products are commonly formed when an acid reacts with a base?,An acid-base neutralization commonly produces water and a salt.,water; salt; neutralization,Neutralization Reactions
CHEM-034,Chemistry,M5,Redox Reactions,Oxidation,Easy,Definition,"In terms of electrons, what is oxidation?",Oxidation is the loss of electrons.,loss of electrons; oxidation,Oxidation and Reduction
CHEM-035,Chemistry,M5,Redox Reactions,Reduction,Easy,Definition,"In terms of electrons, what is reduction?",Reduction is the gain of electrons.,gain of electrons; reduction,Oxidation and Reduction
CHEM-036,Chemistry,M5,Redox Reactions,Identifying oxidation,Medium,Application,"In the change Mg → Mg2+ + 2e-, is magnesium oxidized or reduced?",Magnesium is oxidized because it loses electrons.,oxidized; loses electrons; Mg,Oxidation and Reduction
CHEM-037,Chemistry,M5,Electrochemistry,Galvanic cell,Medium,Conceptual,What type of energy conversion occurs in a galvanic cell?,A galvanic cell converts chemical energy from a spontaneous redox reaction into electrical energy.,chemical to electrical; spontaneous redox,Galvanic Cells
CHEM-038,Chemistry,M5,Electrochemistry,Anode and cathode,Hard,Conceptual,"In a galvanic cell, where does oxidation occur and where does reduction occur?","Oxidation occurs at the anode, and reduction occurs at the cathode.",anode oxidation; cathode reduction,Electrochemical Cells
CHEM-039,Chemistry,M5,Chemical Bonding,Polarity,Medium,Conceptual,Why is water considered a polar molecule?,"Water has polar O-H bonds and a bent shape, so the bond dipoles do not cancel, giving the molecule a net dipole.",polar bonds; bent shape; net dipole,Molecular Polarity
CHEM-040,Chemistry,M5,Intermolecular Forces,Hydrogen bonding,Medium,Conceptual,Why does water have a relatively high boiling point compared with similar small molecules?,"Water molecules form strong hydrogen bonds with one another, requiring more energy to separate them.",hydrogen bonding; more energy; boiling point,Intermolecular Forces
CHEM-041,Chemistry,M6,Organic Chemistry,Hydrocarbons,Easy,Definition,What is a hydrocarbon?,A hydrocarbon is a compound made only of carbon and hydrogen atoms.,carbon; hydrogen; hydrocarbon,Organic Compounds
CHEM-042,Chemistry,M6,Organic Chemistry,Alkanes,Easy,Conceptual,What type of carbon-carbon bonds are found in alkanes?,Alkanes contain only single carbon-carbon bonds.,single bonds; alkanes,Hydrocarbons
CHEM-043,Chemistry,M6,Organic Chemistry,Alkenes,Easy,Conceptual,What type of carbon-carbon bond distinguishes an alkene?,An alkene contains at least one carbon-carbon double bond.,double bond; alkene,Hydrocarbons
CHEM-044,Chemistry,M6,Organic Chemistry,Functional groups,Medium,Classification,"Which functional group is present in ethanol, C2H5OH?","Ethanol contains the hydroxyl functional group, -OH.",hydroxyl; -OH; alcohol,Functional Groups
CHEM-045,Chemistry,M6,Organic Chemistry,Carboxylic acids,Medium,Conceptual,What functional group characterizes carboxylic acids?,"Carboxylic acids contain the carboxyl group, -COOH.",-COOH; carboxyl group,Carboxylic Acids
CHEM-046,Chemistry,M6,Polymers,Monomers and polymers,Easy,Conceptual,What is the relationship between a monomer and a polymer?,Monomers are small repeating units that join together to form a polymer.,repeating units; monomers; polymer,Polymers
CHEM-047,Chemistry,M6,Polymers,Addition polymerization,Medium,Conceptual,What happens during addition polymerization of an alkene?,The double bonds open and monomer units join into a long-chain polymer without producing a small by-product.,double bonds open; chain polymer; no by-product,Addition Polymers
CHEM-048,Chemistry,M6,Biochemistry,Carbohydrates,Easy,Definition,What is a common role of carbohydrates in living organisms?,"Carbohydrates commonly serve as an energy source and, in some cases, structural materials.",energy source; structure; carbohydrates,Biomolecules
CHEM-049,Chemistry,M6,Biochemistry,Proteins,Medium,Conceptual,What are proteins made from?,Proteins are polymers made from amino acid monomers linked by peptide bonds.,amino acids; peptide bonds; proteins,Proteins
CHEM-050,Chemistry,M6,Biochemistry,Lipids,Easy,Conceptual,Why are lipids useful for long-term energy storage?,Lipids contain many carbon-hydrogen bonds and store a large amount of chemical energy per gram.,energy storage; carbon-hydrogen bonds; lipids,Lipids
CHEM-051,Chemistry,M6,Environmental Chemistry,Greenhouse gases,Medium,Conceptual,How do greenhouse gases contribute to warming of Earth's surface?,"They absorb and re-emit infrared radiation, reducing the rate at which thermal energy escapes to space.",infrared radiation; trapping heat; greenhouse gases,Environmental Chemistry
CHEM-052,Chemistry,M6,Environmental Chemistry,Acid rain,Medium,Conceptual,Which gases are major contributors to acid rain formation?,Sulfur dioxide and nitrogen oxides are major contributors because they form acids in the atmosphere.,SO2; NOx; acid rain,Atmospheric Chemistry
CHEM-053,Chemistry,M6,Nuclear Chemistry,Alpha decay,Medium,Conceptual,What is emitted during alpha decay?,"An alpha particle, consisting of two protons and two neutrons, is emitted.",alpha particle; 2 protons; 2 neutrons,Nuclear Chemistry
CHEM-054,Chemistry,M6,Nuclear Chemistry,Half-life,Medium,Calculation,"A radioisotope has a half-life of 6 hours. If the initial mass is 40 g, how much remains after 18 hours?","Eighteen hours is three half-lives, so 40 → 20 → 10 → 5 g. Therefore, 5 g remains.",5 g; three half-lives,Radioactive Decay
CHEM-055,Chemistry,M6,Thermochemistry,Bond energy,Hard,Conceptual,Why is bond breaking considered endothermic?,Bond breaking requires energy input to overcome the attractive forces holding atoms together.,requires energy; break bonds; endothermic,Bond Energies
CHEM-056,Chemistry,M6,Equilibrium,Temperature effect,Hard,Application,"For an exothermic forward reaction at equilibrium, what is the effect of increasing temperature?","Adding heat favors the endothermic reverse direction, so equilibrium shifts toward reactants.",shifts toward reactants; exothermic; Le Châtelier,Equilibrium and Temperature
CHEM-057,Chemistry,M6,Acids and Bases,pH calculation,Medium,Calculation,What is the pH of a solution with [H+] = 1.0 × 10^-3 M?,pH = -log[H+] = -log(1.0 × 10^-3) = 3.,pH 3; -log[H+],pH Calculations
CHEM-058,Chemistry,M6,Electrolysis,Electrolytic cells,Medium,Conceptual,How does an electrolytic cell differ from a galvanic cell?,"An electrolytic cell uses external electrical energy to drive a nonspontaneous reaction, while a galvanic cell produces electrical energy from a spontaneous reaction.",external energy; nonspontaneous; galvanic spontaneous,Electrochemical Cells
CHEM-059,Chemistry,M6,Reaction Rates,Surface area,Medium,Application,Why does powdered calcium carbonate react faster with acid than a large marble chip of the same mass?,"The powder has greater surface area exposed to the acid, so more collisions can occur per second.",greater surface area; more collisions; faster rate,Factors Affecting Reaction Rate
CHEM-060,Chemistry,M6,Stoichiometry,Limiting reagent,Hard,Conceptual,What is a limiting reagent?,The limiting reagent is the reactant that is consumed first and therefore determines the maximum amount of product that can form.,consumed first; determines product amount,Limiting Reactants
