id,subject,grade,topic,subtopic,difficulty,question_type,question,reference_answer,expected_keywords,source_topic
PHY-013,Physics,M4,Forces,Newton's third law,Medium,Conceptual,"When a swimmer pushes water backward, why does the swimmer move forward?","By Newton's third law, the swimmer pushes the water backward and the water exerts an equal and opposite force on the swimmer, pushing them forward.",equal and opposite; action-reaction; third law,Newton's Third Law
PHY-014,Physics,M4,Forces,Weight,Easy,Calculation,What is the weight of a 60 kg person on Earth if g = 9.8 m/s^2?,Weight = mg = 60 × 9.8 = 588 N.,588 N; W = mg,Gravitational Force and Weight
PHY-015,Physics,M4,Forces,Friction,Medium,Conceptual,How does friction affect the motion of an object sliding across a floor?,Friction acts opposite the direction of motion and slows the object down.,opposes motion; slows down; friction,Friction
PHY-016,Physics,M4,Work and Energy,Work,Easy,Calculation,A 12 N force moves a box 5 m in the direction of the force. How much work is done?,Work = force × displacement = 12 × 5 = 60 J.,60 J; W = Fd,Work
PHY-017,Physics,M4,Work and Energy,Kinetic energy,Easy,Calculation,Find the kinetic energy of a 2 kg object moving at 3 m/s.,Kinetic energy = 1/2 mv^2 = 1/2(2)(3^2) = 9 J.,9 J; 1/2mv^2,Kinetic Energy
PHY-018,Physics,M4,Work and Energy,Gravitational potential energy,Medium,Calculation,"A 4 kg object is lifted 2 m above the ground. If g = 9.8 m/s^2, what is its gravitational potential energy?",Potential energy = mgh = 4 × 9.8 × 2 = 78.4 J.,78.4 J; mgh,Gravitational Potential Energy
PHY-019,Physics,M4,Momentum,Momentum,Easy,Calculation,What is the momentum of a 3 kg cart moving at 4 m/s?,Momentum = mv = 3 × 4 = 12 kg·m/s.,12 kg·m/s; p = mv,Momentum
PHY-020,Physics,M4,Momentum,Conservation of momentum,Medium,Conceptual,Why is momentum conserved in an isolated system?,"Momentum is conserved because no net external force acts on the system, so the total momentum before and after an interaction remains the same.",isolated system; no net external force; total momentum,Conservation of Momentum
PHY-021,Physics,M5,Circular Motion,Centripetal acceleration,Medium,Conceptual,What direction does centripetal acceleration point for an object moving in a circle?,Centripetal acceleration points toward the center of the circular path.,toward center; centripetal acceleration,Circular Motion
PHY-022,Physics,M5,Gravitation,Universal gravitation,Easy,Conceptual,What happens to gravitational force if the distance between two objects increases?,"The gravitational force decreases as the distance increases, following an inverse-square relationship.",decreases; inverse square; gravity,Universal Gravitation
PHY-023,Physics,M5,Waves,Wave speed,Easy,Calculation,A wave has frequency 5 Hz and wavelength 2 m. What is its speed?,Wave speed = frequency × wavelength = 5 × 2 = 10 m/s.,10 m/s; v = fλ,Wave Speed
PHY-024,Physics,M5,Waves,Frequency and period,Medium,Calculation,A wave has a frequency of 4 Hz. What is its period?,Period T = 1/f = 1/4 = 0.25 s.,0.25 s; T = 1/f,Frequency and Period
PHY-025,Physics,M5,Waves,Transverse vs longitudinal,Easy,Classification,Is a sound wave in air generally transverse or longitudinal?,A sound wave in air is longitudinal because the particles vibrate parallel to the direction of wave travel.,longitudinal; particles parallel; sound,Types of Mechanical Waves
PHY-026,Physics,M5,Sound,Pitch,Easy,Conceptual,How is the pitch of a sound related to frequency?,A higher frequency corresponds to a higher pitch.,higher frequency; higher pitch,Sound Waves
PHY-027,Physics,M5,Sound,Echo,Medium,Application,Why can an echo be heard after shouting near a large wall?,An echo occurs because sound waves reflect from the wall and return to the listener after a delay.,reflection; sound waves; delay,Reflection of Sound
PHY-028,Physics,M5,Light,Reflection,Easy,Definition,State the law of reflection.,"The angle of incidence equals the angle of reflection, measured from the normal line.",angle of incidence; angle of reflection; normal,Reflection of Light
PHY-029,Physics,M5,Light,Refraction,Medium,Conceptual,Why does light bend when it passes from air into glass?,"Light changes speed when entering glass, causing its direction to change. This bending is refraction.",change in speed; bending; refraction,Refraction of Light
PHY-030,Physics,M5,Light,Convex lens,Medium,Conceptual,What type of image can a convex lens form when an object is placed beyond its focal length?,"A convex lens can form a real, inverted image when the object is beyond the focal length.",real; inverted; convex lens,Lenses
PHY-031,Physics,M5,Electrostatics,Electric charge,Easy,Conceptual,What happens when two objects with like electric charges are brought near each other?,Like charges repel each other.,repel; like charges,Electric Charge
PHY-032,Physics,M5,Electrostatics,Coulomb's law,Medium,Conceptual,"According to Coulomb's law, how does electric force change if the distance between two point charges doubles?",The electric force becomes one-fourth as large because it varies inversely with the square of distance.,one-fourth; inverse square; Coulomb's law,Electric Force
PHY-033,Physics,M5,Electricity,Current,Easy,Definition,What is electric current?,Electric current is the rate of flow of electric charge.,flow of charge; current,Electric Current
PHY-034,Physics,M5,Electricity,Ohm's law,Easy,Calculation,A resistor has resistance 6 Ω and carries current 2 A. What is the voltage across it?,"Using V = IR, V = 2 × 6 = 12 V.",12 V; V = IR,Ohm's Law
PHY-035,Physics,M5,Electricity,Series circuit,Medium,Calculation,"Three resistors of 2 Ω, 3 Ω, and 5 Ω are connected in series. What is the equivalent resistance?","For resistors in series, add them: 2 + 3 + 5 = 10 Ω.",10 Ω; series resistance,Series Circuits
PHY-036,Physics,M5,Electricity,Parallel circuit,Medium,Conceptual,Why does adding another branch in a parallel circuit usually decrease total resistance?,"Adding a branch provides an additional path for current, so the equivalent resistance decreases.",additional path; lower total resistance; parallel circuit,Parallel Circuits
PHY-037,Physics,M5,Electric Power,Power,Easy,Calculation,An appliance operates at 120 V and draws 2 A. What is its electric power?,Power = VI = 120 × 2 = 240 W.,240 W; P = VI,Electric Power
PHY-038,Physics,M5,Magnetism,Magnetic field,Easy,Conceptual,What is a magnetic field?,A magnetic field is the region around a magnet or moving electric charge where magnetic forces can act.,region of magnetic force; magnet; moving charge,Magnetic Fields
PHY-039,Physics,M5,Electromagnetism,Current and magnetic field,Medium,Conceptual,What happens around a straight wire when electric current flows through it?,A magnetic field forms around the wire.,magnetic field; current-carrying wire,Magnetic Effects of Current
PHY-040,Physics,M5,Electromagnetic Induction,Generator principle,Hard,Conceptual,How does electromagnetic induction allow a generator to produce electric current?,"A changing magnetic flux through a conductor induces an electromotive force, which can drive electric current.",changing magnetic flux; induced emf; generator,Electromagnetic Induction
PHY-041,Physics,M6,Thermal Physics,Temperature vs heat,Easy,Conceptual,What is the difference between temperature and heat?,"Temperature measures the average kinetic energy of particles, while heat is energy transferred because of a temperature difference.",temperature; average kinetic energy; heat transfer,Temperature and Heat
PHY-042,Physics,M6,Thermal Physics,Specific heat,Medium,Calculation,How much heat is needed to raise the temperature of 2 kg of water by 5°C if c = 4200 J/(kg·°C)?,Q = mcΔT = 2 × 4200 × 5 = 42000 J.,42000 J; Q = mcΔT,Specific Heat Capacity
PHY-043,Physics,M6,Thermal Physics,Phase change,Medium,Conceptual,Why does temperature remain constant during melting even though heat is being added?,"The added heat is used to overcome intermolecular forces and change phase, not to increase average kinetic energy.",latent heat; phase change; intermolecular forces,Latent Heat
PHY-044,Physics,M6,Gas Laws,Boyle's law,Medium,Calculation,"A gas has volume 4 L at pressure 1 atm. If temperature is constant and the pressure becomes 2 atm, what is the new volume?","Using P1V1 = P2V2, (1)(4) = (2)V2, so V2 = 2 L.",2 L; P1V1 = P2V2; Boyle's law,Gas Laws
PHY-045,Physics,M6,Fluids,Density,Easy,Calculation,An object has mass 200 g and volume 50 cm^3. What is its density?,Density = mass / volume = 200 / 50 = 4 g/cm^3.,4 g/cm^3; density = mass/volume,Density
PHY-046,Physics,M6,Fluids,Pressure,Easy,Calculation,A force of 100 N acts on an area of 0.5 m^2. What pressure is produced?,Pressure = force / area = 100 / 0.5 = 200 Pa.,200 Pa; P = F/A,Pressure
PHY-047,Physics,M6,Fluids,Buoyancy,Medium,Conceptual,Why does an object float in a fluid?,"An object floats when the buoyant force balances its weight before it is fully submerged, which generally occurs when its average density is less than that of the fluid.",buoyant force; weight; lower density,Buoyancy
PHY-048,Physics,M6,Modern Physics,Photoelectric effect,Hard,Conceptual,What does the photoelectric effect show about light?,"It shows that light can behave as packets of energy called photons, because electrons are emitted only when the light frequency is high enough.",photons; threshold frequency; electrons emitted,Photoelectric Effect
PHY-049,Physics,M6,Atomic Physics,Atomic energy levels,Medium,Conceptual,Why do atoms emit light of specific wavelengths?,"Electrons transition between discrete energy levels, emitting photons with energies equal to the differences between those levels.",discrete energy levels; photons; specific wavelengths,Atomic Spectra
PHY-050,Physics,M6,Nuclear Physics,Radioactivity,Easy,Definition,What is radioactivity?,Radioactivity is the spontaneous emission of particles or energy from unstable atomic nuclei.,unstable nuclei; spontaneous emission,Radioactivity
PHY-051,Physics,M6,Nuclear Physics,Half-life,Medium,Calculation,"A radioactive sample has a half-life of 10 days. If it starts with 80 g, how much remains after 30 days?","Thirty days is three half-lives, so 80 → 40 → 20 → 10 g. Therefore, 10 g remains.",10 g; three half-lives,Half-Life
PHY-052,Physics,M6,Nuclear Physics,Fission vs fusion,Medium,Comparison,What is the difference between nuclear fission and nuclear fusion?,"Fission splits a heavy nucleus into smaller nuclei, while fusion combines light nuclei to form a heavier nucleus.",fission; fusion; split; combine,Nuclear Reactions
PHY-053,Physics,M6,Relativity,Mass-energy equivalence,Medium,Conceptual,What does E = mc^2 express?,It expresses the equivalence of mass and energy: a small amount of mass corresponds to a large amount of energy.,mass-energy equivalence; E = mc^2,Mass and Energy
PHY-054,Physics,M6,Simple Harmonic Motion,Period of oscillation,Medium,Conceptual,What characterizes simple harmonic motion?,"In simple harmonic motion, the restoring force or acceleration is proportional to displacement and directed toward equilibrium.",restoring force; proportional to displacement; equilibrium,Simple Harmonic Motion
PHY-055,Physics,M6,Waves,Resonance,Medium,Conceptual,What is resonance?,"Resonance occurs when a system is driven at or near its natural frequency, producing a large-amplitude response.",natural frequency; large amplitude; resonance,Resonance
PHY-056,Physics,M6,Energy,Conservation of energy,Medium,Application,A falling object speeds up as it drops. How does energy conservation explain this?,"As the object falls, gravitational potential energy decreases while kinetic energy increases. In the ideal case, total mechanical energy remains constant.",potential to kinetic; conservation of energy,Mechanical Energy Conservation
PHY-057,Physics,M6,Waves,Interference,Medium,Conceptual,What is constructive interference?,Constructive interference occurs when waves overlap in phase and produce a larger resultant amplitude.,in phase; larger amplitude; interference,Wave Interference
PHY-058,Physics,M6,Optics,Total internal reflection,Hard,Conceptual,When can total internal reflection occur?,It can occur when light travels from a medium with higher refractive index to one with lower refractive index and the angle of incidence exceeds the critical angle.,higher to lower refractive index; critical angle,Total Internal Reflection
PHY-059,Physics,M6,Electromagnetic Waves,Spectrum,Easy,Classification,Which has a higher frequency: visible light or radio waves?,Visible light has a higher frequency than radio waves.,visible light; higher frequency; radio waves,Electromagnetic Spectrum
PHY-060,Physics,M6,Energy Resources,Power efficiency,Medium,Calculation,A machine receives 500 J of energy and delivers 350 J of useful output. What is its efficiency?,Efficiency = useful output / input × 100% = 350/500 × 100% = 70%.,70%; efficiency,Efficiency
