id,subject,grade,topic,subtopic,language,type,question,answer,keypoints
PHY-011,Physics,M5,แสงเชิงรังสี,กระจกและเลนส์,TH,exam-prep,สรุปสูตรและหลักสำคัญของกระจกและเลนส์สำหรับเตรียมสอบ,"หัวข้อกระจกและเลนส์ควรจำสมการหลัก 1/f = 1/u + 1/v โดย f คือความยาวโฟกัส, u คือระยะวัตถุ และ v คือระยะภาพ กำลังขยายใช้ m = v/u หรือ m = ขนาดภาพ/ขนาดวัตถุ กระจกเว้าและเลนส์นูนสามารถให้ภาพจริงหรือภาพเสมือนได้ ขึ้นกับตำแหน่งวัตถุ ส่วนกระจกนูนและเลนส์เว้ามักให้ภาพเสมือน หัวตั้ง และขนาดเล็กกว่าเดิม จุดที่ออกสอบบ่อยคือการแทนค่าเครื่องหมาย การบอกชนิดภาพ และการวาดแผนภาพรังสี","จำสมการ 1/f = 1/u + 1/v; จำสูตรกำลังขยาย m = v/u; แยกภาพจริงและภาพเสมือน; รู้ลักษณะภาพของกระจกนูนและเลนส์เว้า; ระวังเครื่องหมายของ f, u, v"
PHY-012,Physics,M5,Sound,Doppler Effect,EN,homework-help,"An ambulance siren has a frequency of 700 Hz. The ambulance moves toward a stationary observer at 20 m/s. If the speed of sound is 340 m/s, find the frequency heard by the observer.","For a source moving toward a stationary observer, use f' = f v / (v - vs). Here f = 700 Hz, v = 340 m/s, and vs = 20 m/s. Substitute: f' = 700(340)/(340 - 20) = 700(340/320) = 743.75 Hz. Answer: the observer hears about 744 Hz.","Use Doppler formula for source moving toward observer; denominator is v - vs; substitute f = 700 Hz, v = 340 m/s, vs = 20 m/s; frequency increases; final answer is about 744 Hz"
PHY-013,Physics,M5,ไฟฟ้าสถิต,กฎของคูลอมบ์,TH,quick-answer,ประจุไฟฟ้า 2 ตัวมีค่า 2 μC และ 3 μC อยู่ห่างกัน 0.3 m จงหาแรงไฟฟ้าระหว่างประจุ กำหนดให้ k = 9 x 10^9 N m^2/C^2,"ใช้กฎของคูลอมบ์ F = kq1q2/r^2 โดย q1 = 2 x 10^-6 C, q2 = 3 x 10^-6 C และ r = 0.3 m ดังนั้น F = (9 x 10^9)(2 x 10^-6)(3 x 10^-6)/(0.3)^2 = 0.6 N ตอบ: 0.6 N",ใช้สูตร F = kq1q2/r^2; แปลง μC เป็น C; แทนค่า r = 0.3 m; คำนวณได้ 0.6 N
PHY-014,Physics,M5,Electrodynamics,Ohm's Law and Electric Power,EN,concept-focused,Explain Ohm's law and electric power in a simple way.,"Ohm's law explains the relationship between voltage, current, and resistance. The formula is V = IR, meaning voltage is the energy push that drives current through a resistance. If resistance stays the same, a higher voltage gives a higher current. Electric power tells how fast electrical energy is used or transferred. The main formula is P = IV. It can also be written as P = I^2R or P = V^2/R by combining it with Ohm's law. In simple terms, voltage pushes charges, current is the flow of charges, resistance opposes the flow, and power is the rate of energy use.","Explain V = IR; define voltage, current, and resistance; explain that resistance opposes current; explain P = IV; connect power to rate of energy use"
PHY-015,Physics,M6,แม่เหล็กและไฟฟ้า,การเหนี่ยวนำแม่เหล็กไฟฟ้า,TH,exam-prep,สรุปการเหนี่ยวนำแม่เหล็กไฟฟ้าสำหรับเตรียมสอบ,การเหนี่ยวนำแม่เหล็กไฟฟ้าคือการเกิดแรงเคลื่อนไฟฟ้าเหนี่ยวนำเมื่อฟลักซ์แม่เหล็กที่ผ่านวงจรเปลี่ยนแปลง สูตรสำคัญคือ ε = -NΔΦ/Δt เครื่องหมายลบมาจากกฎของเลนซ์ ซึ่งบอกว่ากระแสเหนี่ยวนำจะมีทิศต้านการเปลี่ยนแปลงของฟลักซ์แม่เหล็ก วิธีเพิ่มแรงเคลื่อนไฟฟ้าเหนี่ยวนำคือเพิ่มจำนวนรอบขดลวด เพิ่มความเข้มสนามแม่เหล็ก เพิ่มพื้นที่ขดลวด หรือทำให้ฟลักซ์เปลี่ยนเร็วขึ้น จุดที่ออกสอบบ่อยคือการหาทิศกระแสเหนี่ยวนำและการแทนค่าสูตรฟาราเดย์,จำสูตร ε = -NΔΦ/Δt; เข้าใจว่าฟลักซ์แม่เหล็กต้องเปลี่ยน; เครื่องหมายลบมาจากกฎของเลนซ์; กระแสเหนี่ยวนำต้านการเปลี่ยนแปลง; รู้วิธีเพิ่มแรงเคลื่อนไฟฟ้าเหนี่ยวนำ
PHY-016,Physics,M6,Thermal Physics,Specific Heat Capacity,EN,homework-help,How much heat is needed to raise the temperature of 2 kg of water from 25°C to 75°C? Given the specific heat capacity of water is 4200 J/kg°C.,"Use Q = mcΔT. Here m = 2 kg, c = 4200 J/kg°C, and ΔT = 75 - 25 = 50°C. Substitute: Q = 2 x 4200 x 50 = 420000 J. Answer: 420000 J, or 420 kJ, of heat is needed.",Use Q = mcΔT; calculate temperature change as 50°C; substitute m = 2 kg and c = 4200 J/kg°C; final answer is 420000 J or 420 kJ
PHY-017,Physics,M6,ของแข็งและของไหล,ความดันในของเหลว,TH,quick-answer,จงหาความดันของน้ำที่ความลึก 5 m กำหนดให้ความหนาแน่นของน้ำ 1000 kg/m^3 และ g = 10 m/s^2,ใช้สูตรความดันในของเหลว P = ρgh ดังนั้น P = 1000 x 10 x 5 = 50000 Pa ตอบ: 50000 Pa,ใช้สูตร P = ρgh; แทนค่า ρ = 1000 kg/m^3; ใช้ g = 10 m/s^2; ใช้ h = 5 m; ได้คำตอบ 50000 Pa
PHY-018,Physics,M6,Electromagnetic Wave,Properties of Electromagnetic Waves,EN,concept-focused,Explain electromagnetic waves and their main properties.,"Electromagnetic waves are waves made from changing electric and magnetic fields. The electric field and magnetic field vibrate perpendicular to each other and also perpendicular to the direction of wave travel. They do not need a medium, so they can travel through vacuum. In vacuum, all electromagnetic waves travel at the speed of light, about 3.0 x 10^8 m/s. Examples include radio waves, microwaves, infrared, visible light, ultraviolet, X-rays, and gamma rays. They differ mainly in wavelength, frequency, and energy.",Define electromagnetic waves as changing electric and magnetic fields; fields are perpendicular to each other; can travel through vacuum; speed in vacuum is about 3.0 x 10^8 m/s; examples include radio waves to gamma rays
PHY-019,Physics,M6,ฟิสิกส์อะตอม,แบบจำลองอะตอมของโบร์,TH,exam-prep,สรุปแบบจำลองอะตอมของโบร์และการเปลี่ยนระดับพลังงานแบบเตรียมสอบ,แบบจำลองอะตอมของโบร์อธิบายว่าอิเล็กตรอนอยู่ได้เฉพาะบางระดับพลังงานเท่านั้น โดยไม่แผ่รังสีขณะอยู่ในระดับพลังงานคงที่ เมื่ออิเล็กตรอนย้ายจากระดับพลังงานสูงลงมาต่ำ จะปล่อยโฟตอนออกมา แต่ถ้าย้ายจากระดับต่ำไปสูงจะต้องดูดกลืนพลังงาน ความสัมพันธ์สำคัญคือ ΔE = hf โดย h คือค่าคงตัวของพลังค์ และ f คือความถี่ของแสง จุดที่ควรจำคือเส้นสเปกตรัมเกิดจากการเปลี่ยนระดับพลังงานของอิเล็กตรอน,อิเล็กตรอนอยู่ได้เฉพาะบางระดับพลังงาน; อิเล็กตรอนไม่แผ่รังสีเมื่ออยู่ในวงโคจรคงที่; ย้ายจากสูงลงต่ำปล่อยโฟตอน; ย้ายจากต่ำขึ้นสูงดูดกลืนพลังงาน; ใช้ความสัมพันธ์ ΔE = hf
PHY-020,Physics,M6,Nuclear Physics,Radioactive Decay,EN,homework-help,A radioactive sample has an initial mass of 80 g and a half-life of 5 days. How much of the sample remains after 15 days?,"The half-life is 5 days, so in 15 days the sample passes through 15/5 = 3 half-lives. After each half-life, the remaining mass is divided by 2. Starting from 80 g: after 1 half-life, 40 g remains; after 2 half-lives, 20 g remains; after 3 half-lives, 10 g remains. Answer: 10 g remains after 15 days.","Identify half-life as 5 days; calculate number of half-lives as 15/5 = 3; halve the mass three times; 80 g becomes 40 g, then 20 g, then 10 g; final answer is 10 g"
