id,subject,grade,topic,subtopic,difficulty,question_type,question,reference_answer,expected_keywords,source_topic
BIO-031,Biology,M5,Plants,Stomata,Medium,Conceptual,Why are stomata important to plants?,Stomata allow gas exchange and help regulate water loss through transpiration.,gas exchange; water loss; transpiration,Plant Gas Exchange
BIO-032,Biology,M5,Plants,Tropisms,Medium,Conceptual,What is phototropism?,"Phototropism is a plant growth response to light, often causing shoots to grow toward a light source.",growth toward light; plant response,Plant Responses
BIO-033,Biology,M5,Human Biology,Digestive system,Easy,Conceptual,What is the primary function of the small intestine?,The small intestine is the main site of chemical digestion completion and nutrient absorption.,nutrient absorption; digestion,Digestive System
BIO-034,Biology,M5,Human Biology,Respiratory system,Easy,Conceptual,Where does gas exchange mainly occur in human lungs?,Gas exchange mainly occurs in the alveoli.,alveoli; gas exchange,Respiratory System
BIO-035,Biology,M5,Human Biology,Circulatory system,Medium,Conceptual,What is the main function of red blood cells?,"Red blood cells transport oxygen, mainly using the protein hemoglobin.",oxygen transport; hemoglobin,Circulatory System
BIO-036,Biology,M5,Human Biology,Kidney function,Medium,Conceptual,What is one important function of the kidneys?,"The kidneys filter blood, remove wastes, and help regulate water and ion balance.",filter blood; remove wastes; water balance,Excretory System
BIO-037,Biology,M5,Nervous System,Neuron,Easy,Definition,What is a neuron?,A neuron is a specialized cell that transmits nerve impulses.,nerve impulses; specialized cell,Nervous System
BIO-038,Biology,M5,Endocrine System,Hormones,Medium,Conceptual,What are hormones?,Hormones are chemical messengers released by endocrine glands that regulate target cells or organs.,chemical messengers; endocrine glands,Endocrine System
BIO-039,Biology,M5,Immune System,Antibodies,Medium,Conceptual,What is the role of antibodies in immunity?,Antibodies bind specifically to antigens and help neutralize or mark them for destruction.,bind antigens; immune defense,Immune Response
BIO-040,Biology,M5,Homeostasis,Body temperature,Medium,Application,Why does sweating help cool the body?,"Evaporation of sweat from the skin removes heat from the body, lowering body temperature.",evaporation; heat loss; cooling,Homeostasis
BIO-041,Biology,M6,Ecology,Ecosystem,Easy,Definition,What is an ecosystem?,An ecosystem includes living organisms and the nonliving environment interacting in a particular area.,biotic; abiotic; interactions,Ecosystems
BIO-042,Biology,M6,Ecology,Food chains,Easy,Conceptual,What is the role of a producer in a food chain?,"A producer makes organic food, usually through photosynthesis, and forms the base of many food chains.",photosynthesis; base of food chain; producer,Energy Flow in Ecosystems
BIO-043,Biology,M6,Ecology,Trophic levels,Medium,Conceptual,Why is less energy available at higher trophic levels?,"Much energy is lost as heat and through life processes at each transfer, so only a fraction passes to the next trophic level.",energy loss; heat; trophic transfer,Energy Transfer
BIO-044,Biology,M6,Ecology,Carbon cycle,Medium,Conceptual,How does photosynthesis affect the carbon cycle?,Photosynthesis removes carbon dioxide from the atmosphere and incorporates carbon into organic molecules.,CO2 removed; organic molecules; carbon cycle,Biogeochemical Cycles
BIO-045,Biology,M6,Ecology,Population growth,Medium,Conceptual,What is carrying capacity?,Carrying capacity is the maximum population size an environment can sustain over time with available resources.,maximum sustainable population; resources,Population Ecology
BIO-046,Biology,M6,Ecology,Biodiversity,Medium,Conceptual,Why is biodiversity important to ecosystems?,"Higher biodiversity can support ecosystem stability, resilience, and a wider range of ecological functions.",stability; resilience; ecological functions,Biodiversity
BIO-047,Biology,M6,Evolution,Speciation,Hard,Conceptual,How can reproductive isolation contribute to speciation?,"If populations can no longer interbreed and exchange genes, they may accumulate differences over time and become separate species.",no gene flow; separate species; reproductive isolation,Speciation
BIO-048,Biology,M6,Evolution,Evidence for evolution,Medium,Conceptual,How do homologous structures support evolution?,Homologous structures suggest common ancestry because different organisms share similar underlying anatomical patterns.,common ancestry; similar structures,Evidence for Evolution
BIO-049,Biology,M6,Biotechnology,Genetic engineering,Medium,Conceptual,What is genetic engineering?,Genetic engineering is the direct modification of an organism's DNA using biotechnology.,modify DNA; biotechnology,Biotechnology
BIO-050,Biology,M6,Biotechnology,PCR,Hard,Conceptual,What is the purpose of PCR in molecular biology?,"PCR is used to amplify a specific DNA sequence, producing many copies for analysis.",amplify DNA; many copies,Polymerase Chain Reaction
BIO-051,Biology,M6,Biotechnology,Gel electrophoresis,Medium,Conceptual,What does gel electrophoresis separate DNA fragments by?,"It separates DNA fragments mainly by size, with smaller fragments generally moving farther through the gel.",size; smaller fragments move farther,DNA Analysis
BIO-052,Biology,M6,Human Reproduction,Fertilization,Easy,Definition,What is fertilization?,Fertilization is the fusion of a sperm cell and an egg cell to form a zygote.,sperm; egg; zygote,Human Reproduction
BIO-053,Biology,M6,Human Reproduction,Placenta,Medium,Conceptual,What is one major function of the placenta during pregnancy?,"The placenta allows exchange of gases, nutrients, and wastes between maternal and fetal blood without directly mixing most blood cells.",gas exchange; nutrients; wastes; fetus,Development
BIO-054,Biology,M6,Genetics,Mutation,Medium,Conceptual,What is a mutation?,A mutation is a change in the nucleotide sequence of DNA.,change in DNA sequence; mutation,Mutations
BIO-055,Biology,M6,Genetics,Chromosomal disorders,Medium,Conceptual,How can nondisjunction during meiosis affect chromosome number?,"Nondisjunction can produce gametes with too many or too few chromosomes, which may lead to aneuploid offspring.",too many or few chromosomes; nondisjunction,Chromosomal Variation
BIO-056,Biology,M6,Animal Behavior,Innate vs learned,Medium,Comparison,What is the difference between innate behavior and learned behavior?,"Innate behavior is inherited and does not require prior experience, while learned behavior develops through experience.",inherited; experience; behavior,Animal Behavior
BIO-057,Biology,M6,Conservation Biology,Habitat loss,Medium,Conceptual,Why can habitat loss reduce biodiversity?,"It removes or fragments living space and resources needed by species, increasing extinction risk.",fragmentation; resources; extinction risk,Conservation Biology
BIO-058,Biology,M6,Ecology,Invasive species,Medium,Conceptual,Why can invasive species disrupt ecosystems?,"They may outcompete native species, alter food webs, and change habitat conditions.",outcompete; food webs; ecosystem disruption,Invasive Species
BIO-059,Biology,M6,Immunity,Vaccination,Medium,Conceptual,How does vaccination help protect against infectious disease?,"Vaccination exposes the immune system to antigens or antigen instructions, promoting immune memory that enables a faster response later.",immune memory; antigens; faster response,Adaptive Immunity
BIO-060,Biology,M6,Evolution and Ecology,Antibiotic resistance,Hard,Application,Why can overuse of antibiotics increase antibiotic resistance in bacterial populations?,"Antibiotics create selection pressure: susceptible bacteria die, while resistant bacteria are more likely to survive and reproduce.",selection pressure; resistant bacteria survive; reproduce,Natural Selection in Microbes
